#Creator: pendulumviewEventBuffer
#Creation time: Sun Jan 11 01:39:54 2009
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
46.002	426	46.028	538
46.053	431	46.078	542
46.103	431	46.129	543
46.155	434	46.179	545
46.205	433	46.230	543
46.256	432	46.280	540
46.306	430	46.332	537
46.357	427	46.382	531
46.407	423	46.433	525
46.459	417	46.483	518
46.509	413	46.534	509
46.560	406	46.585	502
46.610	402	46.636	495
46.661	397	46.686	488
46.712	392	46.737	483
46.763	391	46.787	479
46.813	387	46.839	475
46.864	387	46.889	477
46.914	386	46.940	479
46.966	386	46.990	481
47.016	389	47.041	485
47.067	394	47.091	491
47.117	396	47.143	498
47.168	402	47.193	505
47.218	407	47.244	513
47.270	411	47.294	520
47.320	416	47.345	526
47.371	422	47.396	531
47.421	425	47.447	537
47.472	427	47.497	540
47.523	431	47.548	543
47.574	431	47.599	540
47.624	432	47.650	541
47.675	431	47.701	537
47.725	430	47.751	536
47.777	426	47.802	527
47.827	423	47.852	522
47.878	418	47.904	514
47.928	414	47.954	508
47.979	408	48.005	500
48.029	403	48.055	493
48.081	399	48.106	489
48.131	395	48.156	485
48.182	392	48.208	481
48.232	389	48.258	479
48.283	387	48.309	480
48.334	388	48.359	481
48.385	388	48.410	484
48.435	390	48.461	489
48.486	393	48.512	494
48.536	397	48.562	500
48.588	401	48.613	507
48.638	406	48.663	515
48.689	411	48.715	521
48.739	416	48.765	527
48.790	420	48.816	532
48.840	424	48.866	536
48.892	427	48.917	537
48.942	429	48.967	540
48.993	431	49.019	540
49.043	431	49.069	537
49.094	429	49.120	533
49.145	428	49.170	530
49.196	424	49.221	524
49.246	420	49.272	518
49.297	416	49.323	511
49.347	411	49.373	505
49.399	408	49.424	499
49.449	403	49.474	493
49.500	399	49.526	488
49.550	396	49.576	485
49.601	393	49.627	483
49.651	390	49.677	482
49.703	390	49.728	483
49.753	389	49.778	485
49.804	391	49.830	488
49.854	392	49.880	492
49.905	395	49.931	496
49.956	398	49.981	502
50.007	402	50.032	510
50.057	406	50.083	516
50.108	411	50.134	521
50.158	415	50.184	528
50.210	419	50.235	530
50.260	422	50.285	533
50.311	426	50.337	536
50.361	429	50.387	537
50.412	430	50.438	535
50.462	430	50.488	534
50.514	428	50.539	531
50.564	427	50.589	526
50.615	424	50.641	522
50.665	421	50.691	516
50.716	417	50.742	511
50.767	412	50.792	504
50.818	407	50.843	499
50.869	403	50.894	493
50.919	398	50.945	488
50.970	395	50.995	487
51.021	393	51.046	486
51.072	392	51.096	486
51.122	390	51.148	485
51.173	388	51.198	488
51.223	390	51.249	492
51.275	393	51.299	496
51.325	396	51.350	500
51.376	399	51.400	507
51.426	403	51.452	513
51.477	407	51.502	516
51.527	413	51.553	521
51.579	416	51.603	527
51.629	420	51.654	530
51.680	424	51.705	532
51.730	426	51.756	535
51.781	427	51.806	534
51.832	429	51.857	533
51.883	429	51.907	530
51.933	427	51.959	526
51.984	426	52.009	522
52.034	423	52.060	518
52.086	419	52.110	513
52.136	415	52.161	508
52.187	411	52.211	502
52.237	407	52.263	498
52.288	403	52.313	493
52.338	400	52.364	491
52.390	396	52.414	489
52.440	393	52.465	488
52.491	392	52.516	488
52.541	391	52.567	490
52.592	391	52.617	491
52.643	392	52.668	495
52.694	394	52.718	498
52.744	396	52.770	504
52.795	400	52.820	508
52.845	404	52.871	512
52.897	408	52.921	517
52.947	412	52.972	523
52.998	416	53.022	525
53.048	420	53.074	528
53.099	423	53.124	530
53.149	425	53.175	532
53.201	428	53.225	531
53.251	429	53.276	530
53.302	428	53.327	527
53.352	427	53.378	524
53.403	425	53.428	522
53.454	420	53.479	517
53.505	418	53.529	511
53.555	414	53.581	507
53.606	411	53.631	502
53.656	406	53.682	498
53.708	402	53.732	495
53.758	399	53.783	492
53.809	395	53.833	491
53.859	394	53.885	489
53.910	392	53.936	491
53.960	393	53.986	491
54.012	392	54.037	493
54.062	392	54.087	496
54.113	394	54.139	499
54.163	399	54.189	505
54.214	401	54.240	511
54.265	405	54.290	515
54.316	410	54.341	518
54.366	413	54.392	521
54.417	417	54.443	525
54.467	419	54.493	527
54.519	424	54.544	527
54.569	425	54.594	529
54.620	427	54.646	527
54.670	428	54.696	527
54.721	427	54.747	524
54.771	425	54.797	521
54.823	425	54.848	517
54.873	420	54.898	514
54.924	417	54.950	510
54.974	414	55.000	506
55.025	409	55.051	502
55.076	406	55.101	499
55.127	400	55.152	496
55.177	398	55.203	494
55.228	396	55.254	493
55.278	395	55.304	492
55.330	392	55.355	495
55.380	392	55.405	496
55.431	393	55.457	498
55.481	394	55.507	501
