#Creator: pendulumviewEventBuffer
#Creation time: Sun Jan 11 01:39:54 2009
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
43.619	363	43.645	565
43.671	365	43.696	562
43.721	368	43.746	556
43.772	373	43.798	549
43.822	380	43.848	540
43.873	389	43.899	530
43.923	398	43.949	518
43.975	408	44.000	506
44.025	417	44.050	496
44.076	426	44.102	487
44.126	434	44.152	480
44.177	441	44.203	474
44.228	445	44.253	472
44.279	447	44.304	471
44.330	447	44.355	474
44.380	443	44.406	478
44.431	439	44.456	485
44.482	431	44.507	493
44.533	423	44.557	504
44.583	414	44.609	514
44.634	404	44.659	524
44.684	395	44.710	534
44.736	386	44.760	543
44.786	378	44.811	552
44.837	371	44.861	559
44.887	367	44.913	562
44.938	364	44.963	564
44.988	364	45.014	563
45.040	368	45.064	560
45.090	372	45.115	555
45.141	376	45.166	548
45.191	384	45.217	538
45.242	393	45.267	527
45.293	402	45.318	517
45.344	411	45.368	509
45.394	420	45.420	496
45.445	428	45.470	488
45.495	434	45.521	480
45.547	439	45.571	474
45.597	443	45.622	472
45.648	444	45.672	473
45.698	443	45.724	474
45.749	439	45.774	478
45.799	434	45.825	486
45.851	427	45.875	494
45.901	420	45.926	504
45.952	411	45.977	514
46.002	402	46.028	524
46.053	392	46.078	535
46.104	385	46.129	545
46.155	378	46.179	552
46.205	372	46.231	558
46.256	368	46.281	562
46.306	367	46.332	563
46.358	367	46.382	561
46.408	370	46.433	558
46.459	374	46.483	552
46.509	379	46.535	545
46.560	386	46.585	536
46.610	395	46.636	527
46.662	404	46.686	517
46.712	412	46.737	506
46.763	421	46.788	497
46.813	430	46.839	486
46.864	437	46.889	481
46.915	440	46.940	477
46.966	444	46.990	476
47.016	442	47.042	475
47.067	442	47.092	478
47.117	438	47.143	482
47.169	431	47.193	489
47.219	424	47.244	496
47.270	415	47.294	506
47.320	407	47.346	516
47.371	398	47.397	526
47.421	391	47.447	535
47.473	383	47.498	544
47.523	376	47.548	552
47.574	372	47.600	557
47.624	369	47.650	560
47.675	367	47.701	561
47.726	368	47.751	560
47.777	371	47.802	556
47.827	376	47.853	551
47.878	382	47.904	542
47.928	390	47.954	533
47.980	398	48.005	525
48.030	406	48.055	514
48.081	415	48.107	504
48.131	423	48.157	496
48.182	430	48.208	488
48.232	436	48.258	482
48.284	440	48.309	478
48.334	441	48.359	477
48.385	441	48.411	479
48.435	439	48.461	479
48.486	436	48.512	485
48.537	429	48.562	491
48.588	423	48.613	499
48.638	414	48.664	508
48.689	406	48.715	518
48.739	397	48.765	528
48.791	388	48.816	536
48.841	381	48.866	544
48.892	376	48.918	551
48.942	372	48.968	555
48.993	369	49.019	557
49.043	368	49.069	559
49.095	368	49.120	557
49.145	373	49.170	554
49.196	377	49.222	548
49.246	385	49.272	541
49.297	392	49.323	532
49.348	401	49.373	523
49.399	410	49.424	514
49.449	417	49.475	505
49.500	425	49.526	497
49.550	431	49.576	490
49.602	437	49.627	483
49.652	439	49.677	479
49.703	440	49.729	479
49.753	440	49.779	479
49.804	438	49.830	482
49.854	431	49.880	486
49.906	426	49.931	493
49.956	419	49.981	502
50.007	412	50.033	510
50.057	403	50.083	518
50.108	396	50.134	527
50.159	388	50.184	535
50.210	381	50.235	544
50.260	376	50.286	549
50.311	372	50.337	554
50.361	370	50.387	556
50.413	370	50.438	556
50.463	372	50.488	555
50.514	376	50.540	550
50.564	381	50.590	545
50.615	387	50.641	538
50.666	395	50.691	530
50.717	403	50.742	521
50.767	411	50.792	512
50.818	420	50.844	504
50.868	425	50.894	496
50.919	432	50.945	489
