#Creator: pendulumviewEventBuffer
#Creation time: Sun Jan 11 01:39:54 2009
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
33.532	448	33.557	525
33.582	448	33.607	511
33.633	448	33.659	496
33.683	449	33.709	480
33.734	449	33.760	465
33.785	447	33.810	450
33.836	448	33.861	437
33.886	447	33.912	426
33.937	448	33.963	419
33.987	447	34.013	414
34.039	448	34.064	411
34.089	448	34.114	414
34.140	447	34.166	419
34.190	447	34.216	428
34.241	447	34.267	439
34.292	447	34.317	453
34.343	447	34.368	466
34.393	449	34.418	482
34.444	448	34.470	497
34.494	448	34.520	511
34.545	447	34.571	524
34.596	448	34.621	534
34.647	447	34.672	541
34.698	448	34.723	546
34.748	448	34.774	549
34.799	449	34.824	547
34.850	448	34.875	537
34.901	448	34.925	532
34.951	447	34.977	519
35.002	448	35.027	507
35.052	448	35.078	493
35.104	447	35.128	477
35.154	447	35.179	463
35.205	447	35.229	449
35.255	449	35.281	437
35.306	448	35.331	428
35.356	448	35.382	419
35.408	448	35.432	416
35.458	448	35.483	414
35.509	448	35.534	418
35.559	448	35.585	421
35.610	448	35.635	432
35.661	448	35.686	443
35.712	448	35.736	456
35.762	447	35.788	469
35.813	449	35.838	485
35.863	448	35.889	498
35.915	448	35.939	512
35.965	446	35.990	524
36.016	448	36.041	534
36.066	447	36.092	541
36.117	447	36.142	544
36.167	446	36.193	546
36.219	448	36.243	543
36.269	447	36.294	536
36.320	448	36.345	528
36.370	448	36.396	517
36.421	448	36.446	504
36.472	448	36.497	490
36.523	448	36.547	477
36.573	450	36.599	463
36.624	448	36.649	449
36.674	448	36.700	437
36.726	448	36.750	428
36.776	448	36.801	421
36.827	448	36.852	418
36.877	448	36.903	416
36.928	447	36.953	421
36.978	447	37.004	425
37.030	448	37.054	434
37.080	448	37.105	445
37.131	448	37.156	460
37.181	448	37.207	472
37.232	449	37.257	486
37.283	447	37.308	499
37.334	448	37.358	513
37.384	446	37.410	524
37.435	448	37.460	533
37.485	447	37.511	539
37.537	447	37.561	542
37.587	448	37.612	544
37.638	448	37.663	539
37.688	448	37.714	534
37.739	447	37.765	525
37.789	448	37.815	515
37.841	449	37.866	502
37.891	449	37.916	488
37.942	449	37.968	474
37.992	448	38.018	461
38.043	447	38.069	448
