#Creator: pendulumEventBuffer
#Creation time: Thu Mar 30 12:09:25 2023
#Time	Period	Transit time
#[s]	[s]	[s]
717.267284	2.114144	0.089520
718.324379	2.114139	0.089710
719.381423	2.114084	0.089978
720.438463	2.114069	0.090242
721.495492	2.114147	0.090476
722.552610	2.114193	0.090652
723.609685	2.114123	0.090818
724.666733	2.114084	0.090978
725.723769	2.114073	0.091194
726.780806	2.114085	0.091404
727.837854	2.114093	0.091604
728.894899	2.114067	0.091890
729.951921	2.114107	0.092098
731.009006	2.114125	0.092252
732.066046	2.114055	0.092476
733.123061	2.114037	0.092706
734.180083	2.114056	0.092814
735.237117	2.114046	0.092962
736.294129	2.114057	0.093310
737.351174	2.114024	0.093540
738.408153	2.114016	0.093670
739.465190	2.114052	0.093880
740.522205	2.113988	0.094110
741.579178	2.114004	0.094336
742.636209	2.114084	0.094482
743.693262	2.114001	0.094632
744.750210	2.113884	0.094872
745.807146	2.113923	0.095084
746.864133	2.113967	0.095234
747.921113	2.113924	0.095494
748.978057	2.113932	0.095770
750.035045	2.113933	0.095954
751.091990	2.113984	0.096168
752.149029	2.114035	0.096418
753.206025	2.113921	0.096634
754.262950	2.113867	0.096724
755.319892	2.113890	0.096944
756.376840	2.113929	0.097268
757.433821	2.113916	0.097430
758.490756	2.113839	0.097596
759.547660	2.113854	0.097820
760.604610	2.113917	0.098032
761.661577	2.113901	0.098226
762.718511	2.113877	0.098430
763.775454	2.113879	0.098644
764.832390	2.113850	0.098864
765.889304	2.113894	0.099088
766.946284	2.113876	0.099268
768.003180	2.113825	0.099460
769.060109	2.113847	0.099682
770.117027	2.113840	0.099922
771.173949	2.113814	0.100150
772.230841	2.113812	0.100350
773.287761	2.113819	0.100554
774.344660	2.113815	0.100768
775.401576	2.113773	0.100972
776.458433	2.113813	0.101210
777.515389	2.113851	0.101430
778.572284	2.113810	0.101636
779.629199	2.113832	0.101854
780.686116	2.113830	0.102052
781.743029	2.113795	0.102262
782.799911	2.113795	0.102474
783.856824	2.113823	0.102700
784.913734	2.113804	0.102880
785.970628	2.113780	0.103096
787.027514	2.113765	0.103348
788.084393	2.113766	0.103542
789.141280	2.113771	0.103748
790.198164	2.113770	0.103984
791.255050	2.113779	0.104216
792.311943	2.113751	0.104426
793.368801	2.113736	0.104650
794.425679	2.113743	0.104858
795.482544	2.113740	0.105068
796.539419	2.113711	0.105302
797.596255	2.113735	0.105530
798.653154	2.113759	0.105748
799.710014	2.113708	0.105976
800.766862	2.113722	0.106196
801.823736	2.113746	0.106392
802.880608	2.113669	0.106608
803.937405	2.113606	0.106830
804.994214	2.113745	0.107056
806.051150	2.113750	0.107268
807.107964	2.113535	0.107484
808.164685	2.113608	0.107694
