#Creator: pendulumviewEventBuffer
#Creation time: Sun Jan 11 01:39:54 2009
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
56.038	404	56.064	526
56.089	408	56.115	526
56.139	412	56.165	527
56.191	416	56.216	525
56.241	421	56.266	527
56.292	424	56.318	526
56.342	427	56.368	528
56.393	429	56.419	528
56.444	431	56.469	529
56.495	431	56.520	529
56.545	431	56.571	530
56.596	431	56.622	530
56.646	428	56.672	531
56.698	425	56.723	530
56.748	422	56.773	531
56.799	418	56.825	532
56.849	414	56.875	530
56.900	410	56.926	532
56.950	406	56.976	530
57.002	403	57.027	530
57.052	400	57.077	528
57.103	399	57.129	528
57.153	397	57.179	527
57.204	397	57.230	527
57.255	397	57.280	526
57.306	400	57.331	525
57.356	402	57.382	526
57.407	405	57.433	525
57.457	407	57.483	525
