#Creator: pendulumviewEventBuffer
#Creation time: Sun Jan 11 01:39:54 2009
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
36.270	448	36.295	555
36.320	449	36.346	542
36.371	449	36.396	524
36.422	448	36.447	505
36.473	449	36.497	486
36.523	449	36.549	465
36.574	448	36.599	446
36.624	448	36.650	428
36.676	448	36.700	414
36.726	447	36.751	401
36.777	447	36.801	392
36.827	447	36.853	389
36.878	447	36.903	393
36.928	448	36.954	397
36.980	447	37.004	407
37.030	447	37.055	422
37.081	448	37.106	438
37.131	448	37.157	458
37.182	448	37.207	478
37.233	447	37.258	497
37.284	448	37.308	517
37.334	448	37.360	535
37.385	449	37.410	549
37.435	449	37.461	561
37.487	449	37.511	567
37.537	449	37.562	570
37.588	449	37.612	566
37.638	449	37.664	562
37.689	449	37.715	551
37.739	449	37.765	538
37.791	448	37.816	521
37.841	448	37.866	502
37.892	448	37.918	483
37.942	448	37.968	463
37.993	447	38.019	444
38.044	448	38.069	427
38.095	447	38.120	412
38.145	448	38.171	402
38.196	448	38.222	397
38.246	447	38.272	392
38.298	447	38.323	395
38.348	448	38.373	400
38.399	447	38.425	411
38.449	448	38.475	425
38.500	448	38.526	443
38.550	448	38.576	460
38.602	448	38.627	480
38.652	448	38.677	499
38.703	449	38.729	518
38.753	449	38.779	535
38.804	449	38.830	549
38.855	449	38.880	558
38.906	449	38.931	565
38.956	449	38.982	569
39.007	448	39.033	565
39.057	448	39.083	558
39.109	449	39.134	548
39.159	448	39.184	535
39.210	448	39.236	518
39.260	448	39.286	500
39.311	447	39.337	481
39.361	448	39.387	461
39.413	448	39.438	443
39.463	448	39.488	427
39.514	448	39.540	413
39.564	448	39.590	403
39.615	448	39.641	397
39.666	448	39.691	396
39.717	448	39.742	397
39.767	449	39.793	404
39.818	448	39.844	416
39.868	449	39.894	429
39.920	449	39.945	446
39.970	448	39.995	463
40.021	449	40.047	482
40.071	449	40.097	501
40.122	449	40.148	520
40.172	448	40.198	535
40.224	449	40.249	548
40.274	448	40.299	558
40.325	448	40.351	564
40.375	448	40.401	567
40.426	448	40.452	562
40.477	447	40.502	554
40.528	448	40.553	545
40.578	448	40.604	533
40.629	447	40.655	516
40.679	448	40.705	497
40.731	447	40.756	478
40.781	449	40.806	460
40.832	449	40.858	443
40.882	447	40.908	427
40.933	448	40.959	414
40.983	449	41.009	405
41.035	448	41.060	399
41.085	448	41.110	398
41.136	448	41.162	400
41.186	448	41.212	406
41.237	449	41.263	419
41.288	448	41.313	432
41.339	448	41.364	448
41.390	449	41.415	466
41.440	449	41.466	485
41.491	449	41.516	503
41.542	449	41.567	521
41.593	448	41.617	536
41.643	449	41.669	548
41.694	448	41.719	557
41.744	448	41.770	562
41.796	449	41.820	563
41.846	448	41.871	560
41.897	448	41.921	553
41.947	447	41.973	542
41.998	448	42.023	528
42.048	449	42.074	512
42.100	446	42.124	494
42.150	447	42.175	476
42.201	448	42.226	459
42.251	448	42.277	441
42.302	449	42.327	426
42.353	447	42.378	414
42.404	449	42.428	405
42.454	448	42.480	401
42.505	448	42.530	400
42.555	448	42.581	404
42.607	448	42.631	410
42.657	449	42.682	421
42.708	447	42.732	433
42.758	448	42.784	451
42.809	448	42.834	468
42.859	448	42.885	487
42.911	449	42.935	505
42.961	448	42.986	521
43.012	448	43.037	535
43.062	448	43.088	547
43.113	447	43.138	556
43.164	448	43.189	559
43.215	448	43.239	561
43.265	450	43.291	558
43.316	449	43.341	550
43.366	448	43.392	540
43.418	449	43.442	525
43.468	449	43.493	509
43.519	448	43.543	492
43.569	448	43.595	474
43.620	448	43.645	457
43.670	449	43.696	441
43.722	449	43.746	426
43.772	448	43.797	415
43.823	449	43.848	407
43.873	448	43.899	402
43.924	448	43.949	402
43.975	448	44.000	406
44.026	449	44.050	414
44.076	448	44.102	424
44.127	448	44.152	439
44.177	448	44.203	454
44.229	448	44.253	472
44.279	448	44.304	488
44.330	448	44.354	506
44.380	448	44.406	523
44.431	448	44.457	535
44.481	447	44.507	547
44.533	448	44.558	555
44.583	448	44.608	558
44.634	448	44.660	557
44.684	448	44.710	554
44.735	448	44.761	547
44.786	449	44.811	536
44.837	448	44.862	523
44.887	448	44.913	505
44.938	448	44.964	490
44.988	448	45.014	472
45.040	449	45.065	456
45.090	447	45.115	441
45.141	449	45.167	427
45.191	448	45.217	416
45.242	448	45.268	409
45.292	448	45.318	405
45.344	448	45.369	405
45.394	448	45.419	409
45.445	449	45.471	416
45.495	448	45.521	428
45.546	448	45.572	442
45.597	447	45.622	457
45.648	448	45.673	474
45.698	447	45.724	491
45.749	448	45.775	507
45.799	448	45.825	523
45.851	449	45.876	535
45.901	448	45.926	546
45.952	448	45.978	553
46.002	449	46.028	556
46.053	448	46.079	556
46.103	448	46.129	550
46.155	448	46.180	544
46.205	449	46.230	533
46.256	448	46.282	518
46.306	449	46.332	505
46.357	448	46.383	487
46.408	449	46.433	471
46.459	448	46.484	455
46.509	449	46.535	439
46.560	448	46.586	426
46.610	447	46.636	416
46.662	448	46.687	410
46.712	449	46.737	406
46.763	448	46.789	408
46.813	448	46.839	412
46.864	447	46.890	419
46.914	448	46.940	431
46.966	448	46.991	443
47.016	448	47.041	459
47.067	448	47.093	476
47.117	448	47.143	493
47.168	447	47.194	508
47.219	449	47.244	523
47.270	448	47.295	535
47.320	449	47.346	545
47.371	448	47.397	551
47.421	448	47.447	554
47.473	448	47.498	553
47.523	448	47.548	547
47.574	449	47.600	542
47.624	449	47.650	530
47.675	449	47.701	517
47.726	448	47.751	501
47.777	449	47.802	483
47.827	448	47.852	468
47.878	448	47.904	454
47.928	448	47.954	439
47.979	449	48.005	427
48.030	448	48.055	416
48.081	448	48.106	412
48.131	448	48.157	409
48.182	448	48.208	410
48.232	448	48.258	415
48.284	448	48.309	423
48.334	448	48.359	433
48.385	448	48.411	448
48.435	447	48.461	462
48.486	448	48.512	478
48.537	448	48.562	494
48.588	449	48.613	509
48.638	448	48.663	522
48.689	447	48.715	535
48.739	449	48.765	544
48.790	448	48.816	550
48.841	448	48.866	552
48.892	448	48.917	551
48.943	449	48.968	546
48.993	449	49.019	538
49.044	448	49.069	526
49.095	448	49.120	514
49.146	448	49.170	497
49.196	448	49.222	484
49.247	448	49.272	467
49.297	448	49.323	453
49.349	448	49.373	438
49.399	448	49.424	427
49.450	447	49.474	419
49.500	448	49.526	414
49.551	447	49.576	411
49.601	449	49.627	413
49.653	447	49.677	418
49.703	448	49.728	426
49.754	448	49.779	437
49.804	449	49.830	450
49.855	448	49.880	466
49.906	448	49.931	480
49.957	449	49.981	496
50.007	448	50.033	508
50.058	448	50.083	525
50.108	449	50.134	534
50.160	448	50.184	542
50.210	448	50.235	549
50.261	448	50.286	550
50.311	449	50.337	547
50.362	448	50.387	544
50.412	448	50.438	535
50.464	448	50.488	523
50.514	448	50.539	511
50.565	448	50.590	496
50.615	449	50.641	480
50.666	449	50.691	466
50.717	448	50.742	451
50.768	449	50.792	438
50.818	448	50.844	428
50.869	448	50.894	419
50.919	448	50.945	414
50.971	448	50.995	414
51.021	448	51.046	416
51.072	448	51.097	420
51.122	448	51.148	428
51.173	447	51.198	439
51.223	449	51.249	453
51.275	448	51.299	468
51.325	447	51.350	483
51.376	447	51.401	497
51.426	449	51.452	511
51.477	449	51.502	524
51.528	448	51.553	533
51.579	448	51.603	542
51.629	448	51.655	546
51.680	449	51.705	548
51.730	448	51.756	546
51.782	449	51.806	540
51.832	449	51.857	533
51.883	448	51.908	522
51.933	448	51.959	508
51.984	448	52.010	494
52.034	448	52.060	479
52.086	448	52.111	464
52.136	448	52.161	449
52.187	448	52.213	438
52.237	449	52.263	428
52.288	448	52.314	420
52.339	449	52.364	417
52.390	448	52.415	415
52.440	448	52.466	418
52.491	447	52.517	421
