#Creator: tempmonitorEventBuffer
#Creation time: Thu Nov 17 11:40:47 2022
#Time 0	Temp A0	Time 1	Temp A1
#[s]	[deg C]	[s]	[deg C]
263.115	26.37	263.365	27.54
263.616	26.47	263.865	27.54
264.116	26.47	264.366	27.54
264.616	26.47	264.867	27.44
265.117	26.47	265.368	27.44
265.617	26.37	265.868	27.44
266.118	26.37	266.369	27.44
266.619	26.37	266.870	27.33
267.120	26.37	267.371	27.33
267.620	26.37	267.871	27.33
268.121	26.37	268.372	27.33
268.622	26.27	268.873	27.33
269.123	26.27	269.374	27.33
269.623	26.27	269.874	27.33
270.124	26.27	270.375	27.33
270.625	26.27	270.875	27.33
271.126	26.27	271.375	27.23
271.626	25.76	271.876	27.23
272.127	26.27	272.377	27.23
272.628	26.27	272.878	27.23
273.129	26.27	273.378	27.23
273.629	26.27	273.879	27.23
274.130	26.27	274.380	27.23
274.631	26.27	274.881	27.23
275.131	26.27	275.381	27.23
275.632	26.27	275.882	27.23
276.132	26.27	276.383	27.23
276.633	26.27	276.884	27.23
277.133	26.27	277.384	27.02
277.634	26.17	277.885	27.12
278.135	26.27	278.386	27.23
278.636	26.27	278.886	27.12
279.136	26.17	279.387	27.12
279.637	25.96	279.888	27.12
280.138	26.07	280.389	27.02
280.639	25.96	280.889	26.91
281.139	26.07	281.390	26.80
281.640	25.96	281.891	26.70
282.141	26.07	282.391	26.70
282.641	25.96	282.891	26.59
283.142	25.96	283.392	26.59
283.643	25.96	283.893	26.59
284.144	25.96	284.394	26.59
284.644	25.96	284.894	26.59
285.145	25.96	285.395	26.49
285.646	25.96	285.896	26.59
286.147	25.96	286.396	26.17
286.647	25.96	286.897	26.49
287.148	25.96	287.398	26.38
287.648	25.96	287.899	26.49
288.149	25.96	288.399	26.38
288.649	25.86	288.900	26.28
289.150	25.96	289.401	26.28
289.651	25.96	289.902	26.28
290.152	25.96	290.402	26.28
290.652	25.96	290.903	26.28
291.153	25.86	291.404	26.17
291.654	25.96	291.905	26.17
292.154	25.96	292.405	26.17
292.655	26.27	292.906	26.17
293.156	25.86	293.407	26.17
293.657	25.86	293.907	26.17
294.157	25.86	294.407	26.17
294.658	25.96	294.908	26.17
295.159	25.96	295.409	26.07
295.660	25.96	295.909	26.07
296.160	25.86	296.410	26.07
296.661	25.86	296.911	26.07
297.162	25.86	297.412	26.07
297.663	25.86	297.912	25.96
298.163	25.86	298.413	26.07
298.664	25.96	298.914	26.07
299.165	25.96	299.415	25.96
299.665	25.86	299.915	25.96
300.166	25.96	300.416	25.96
300.666	25.86	300.917	25.86
301.167	25.86	301.418	25.96
301.667	25.86	301.918	25.96
302.168	25.86	302.419	25.96
302.669	25.96	302.920	25.86
303.170	25.86	303.420	25.96
303.670	25.86	303.921	25.96
304.171	25.86	304.422	25.86
304.672	25.86	304.923	25.86
305.173	25.96	305.423	25.86
305.673	25.86	305.924	25.86
306.174	25.96	306.424	25.86
306.675	25.86	306.925	25.86
307.176	25.96	307.425	25.86
307.676	25.86	307.926	25.75
308.177	25.96	308.427	25.86
308.678	25.96	308.928	25.86
309.178	25.96	309.428	25.86
309.679	25.86	309.929	25.75
310.180	25.86	310.430	25.75
310.681	25.76	310.931	25.75
311.181	25.66	311.431	25.75
311.682	25.76	311.932	25.75
312.183	25.66	312.433	25.65
312.683	25.56	312.933	25.55
313.183	25.56	313.434	25.44
313.684	25.56	313.935	25.23
314.185	25.56	314.436	25.13
314.686	25.25	314.936	24.92
315.186	25.46	315.437	24.92
315.687	25.46	315.938	25.02
316.188	25.46	316.439	24.81
316.688	25.46	316.939	24.81
317.189	25.46	317.440	24.71
317.690	25.35	317.941	24.81
318.191	25.46	318.441	24.71
