#Creator: tempmonitorEventBuffer
#Creation time: Thu Nov 17 11:40:47 2022
#Time 0	Temp A0	Time 1	Temp A1
#[s]	[deg C]	[s]	[deg C]
310.180	24.65	310.430	25.75
310.680	24.55	310.930	25.86
311.181	24.55	311.431	25.86
311.682	24.44	311.932	25.75
312.182	24.44	312.432	25.86
312.682	24.44	312.933	25.75
313.183	24.34	313.434	25.75
313.684	24.44	313.935	25.75
314.185	24.44	314.435	25.75
314.685	24.34	314.936	25.75
315.186	24.34	315.437	25.86
315.687	24.34	315.938	25.75
316.188	24.34	316.438	25.75
316.688	24.34	316.939	25.75
317.189	24.34	317.440	25.75
317.690	24.34	317.941	25.75
318.190	24.34	318.440	25.75
318.691	24.34	318.941	25.65
319.192	24.34	319.442	25.75
319.693	24.34	319.943	25.65
320.193	24.24	320.443	25.65
320.694	24.24	320.944	25.65
321.195	24.24	321.445	25.75
321.696	24.24	321.945	25.75
322.196	24.24	322.446	25.65
322.697	24.24	322.947	25.65
323.198	24.24	323.448	25.65
323.699	24.24	323.948	25.65
324.199	24.24	324.449	25.65
324.699	24.24	324.950	25.75
325.200	24.14	325.451	25.65
325.700	24.24	325.951	25.75
326.201	24.24	326.452	25.65
326.702	24.24	326.953	25.75
327.203	24.14	327.454	25.65
327.703	24.14	327.954	25.55
328.204	24.14	328.455	25.65
328.705	24.14	328.956	25.65
329.206	24.14	329.456	25.65
329.706	24.14	329.957	25.65
330.207	24.14	330.458	25.65
330.708	24.14	330.958	25.75
331.209	24.14	331.458	25.55
331.709	24.14	331.959	25.55
332.210	24.14	332.460	25.44
332.711	24.14	332.961	25.44
333.212	24.04	333.461	25.34
333.712	23.94	333.962	25.34
334.213	23.84	334.463	25.34
334.714	23.74	334.964	25.34
335.214	23.64	335.464	25.23
335.715	23.64	335.965	25.23
336.216	23.54	336.466	25.23
336.716	23.54	336.967	25.23
337.216	23.54	337.467	25.23
337.717	23.44	337.968	25.23
338.218	23.44	338.469	25.23
338.719	23.34	338.969	25.23
339.219	23.34	339.470	25.13
339.720	23.34	339.971	25.13
340.221	23.34	340.472	25.13
340.722	23.34	340.972	25.13
341.222	23.24	341.473	25.13
341.723	23.34	341.974	25.13
342.224	23.24	342.475	25.13
342.724	23.24	342.974	25.13
343.225	23.34	343.475	25.13
343.726	23.24	343.976	25.13
344.227	23.24	344.477	25.13
344.727	23.24	344.977	25.13
345.228	23.14	345.478	25.13
345.729	23.24	345.979	25.13
346.230	23.24	346.479	25.13
346.730	23.14	346.980	25.13
347.231	23.14	347.481	25.13
347.732	23.14	347.982	25.13
348.233	23.24	348.482	25.13
348.733	23.14	348.983	25.13
349.233	23.14	349.484	25.23
349.734	23.14	349.985	25.13
350.234	23.14	350.485	25.13
350.735	23.14	350.986	25.13
351.236	23.14	351.487	25.13
351.737	23.14	351.988	25.13
352.237	23.14	352.488	25.13
352.738	23.04	352.989	25.13
353.239	23.14	353.490	25.02
353.740	23.14	353.991	25.13
354.240	23.14	354.491	25.13
354.741	23.14	354.991	25.13
355.242	23.14	355.492	25.13
355.743	23.14	355.992	25.13
356.243	23.04	356.493	25.13
356.744	23.14	356.994	25.02
357.245	23.04	357.495	24.92
357.746	23.04	357.995	24.92
358.246	22.94	358.496	24.81
358.747	22.74	358.997	25.13
359.248	22.74	359.498	24.81
359.748	22.44	359.998	24.81
360.249	22.54	360.499	24.71
360.749	22.54	361.000	24.71
361.250	22.44	361.501	24.81
361.750	22.34	362.001	24.71
362.251	22.34	362.502	24.71
362.752	22.34	363.003	24.71
363.253	22.34	363.503	24.71
363.753	22.24	364.004	24.71
364.254	22.24	364.505	24.71
364.755	22.24	365.006	24.71
365.256	22.24	365.506	24.71
365.756	22.24	366.007	24.71
366.257	22.24	366.508	24.71
366.758	22.24	367.008	24.71
367.258	22.14	367.508	24.61
367.759	22.04	368.009	24.61
368.260	22.14	368.510	24.71
368.761	22.14	369.011	24.71
369.261	22.14	369.511	24.71
369.762	22.14	370.012	24.71
370.263	22.14	370.513	24.71
370.764	22.14	371.013	24.71
371.264	22.14	371.514	24.71
371.765	22.14	372.015	24.61
372.266	22.04	372.516	24.71
372.767	22.04	373.016	24.71
373.266	22.04	373.517	24.61
373.767	22.04	374.018	24.71
374.268	22.04	374.519	24.61
374.768	22.04	375.019	24.61
375.269	22.04	375.520	24.61
375.770	22.04	376.021	24.61
376.271	21.94	376.522	24.71
376.771	22.04	377.022	24.61
377.272	22.04	377.523	24.71
377.773	22.04	378.024	24.61
378.274	22.04	378.525	24.71
378.774	22.04	379.025	24.61
379.275	22.04	379.525	24.61
379.776	22.04	380.026	24.61
380.277	21.94	380.526	24.61
380.777	21.94	381.027	24.61
381.278	22.04	381.528	24.50
381.779	21.94	382.029	24.50
382.280	21.64	382.529	24.40
382.780	21.64	383.030	24.30
383.281	21.54	383.531	24.40
383.782	21.44	384.032	24.30
384.282	21.44	384.532	24.30
384.783	21.35	385.033	24.30
385.284	21.35	385.534	24.19
385.784	21.35	386.035	24.40
386.284	21.25	386.535	24.30
386.785	21.25	387.036	24.19
387.286	21.25	387.537	24.30
387.787	21.25	388.037	24.30
388.287	21.25	388.538	24.19
388.788	21.25	389.039	24.19
389.289	21.15	389.540	24.19
389.790	21.15	390.040	24.19
390.290	21.15	390.541	24.19
390.791	21.15	391.042	24.19
391.292	21.05	391.543	24.19
391.792	21.05	392.042	24.19
392.293	21.05	392.543	24.19
392.794	21.05	393.044	24.19
393.295	21.05	393.545	24.19
393.795	21.05	394.045	24.19
394.296	21.05	394.546	24.19
394.797	21.05	395.047	24.19
395.298	21.05	395.548	24.19
395.798	21.05	396.048	24.09
396.299	20.95	396.549	24.09
396.800	20.95	397.050	24.09
397.301	20.95	397.550	24.09
397.800	20.95	398.051	24.09
398.301	20.95	398.552	24.09
398.802	20.95	399.053	24.19
399.303	20.95	399.553	24.09
399.803	20.95	400.054	24.09
400.304	20.95	400.555	24.09
400.805	20.95	401.056	24.09
401.305	20.95	401.556	24.19
401.806	20.95	402.057	24.19
402.307	20.95	402.558	24.09
402.808	20.95	403.059	24.19
403.308	20.85	403.559	24.19
403.809	20.95	404.059	24.19
404.310	20.85	404.560	24.19
404.811	20.85	405.060	24.19
405.311	20.85	405.561	24.19
405.812	20.85	406.062	24.19
406.313	20.95	406.563	24.19
406.814	20.85	407.063	24.19
407.314	20.85	407.564	24.19
407.815	20.85	408.065	24.19
408.316	20.85	408.566	24.09
408.816	20.85	409.066	24.09
409.317	20.85	409.567	23.98
409.818	20.85	410.068	24.09
410.318	20.85	410.569	23.98
410.818	20.85	411.069	23.88
411.319	20.85	411.570	23.78
411.820	20.75	412.071	23.78
412.321	20.75	412.572	23.78
412.821	20.75	413.072	23.67
413.322	20.85	413.573	23.67
413.823	20.75	414.074	23.67
414.324	20.75	414.574	23.67
414.824	20.85	415.075	23.67
415.325	20.75	415.576	23.67
415.826	20.75	416.076	23.67
416.327	20.75	416.576	23.57
416.827	20.75	417.077	23.57
417.328	20.75	417.578	23.57
417.829	20.85	418.079	23.57
418.329	20.75	418.579	23.57
418.830	20.75	419.080	23.57
419.331	20.75	419.581	23.57
419.832	20.75	420.082	23.67
420.332	20.75	420.582	23.57
420.833	20.75	421.083	23.57
421.334	20.75	421.584	23.67
421.835	20.75	422.084	23.57
422.334	20.75	422.585	23.57
422.835	20.75	423.086	23.57
423.336	20.75	423.587	23.57
423.837	20.65	424.087	23.57
424.337	20.75	424.588	23.57
